gene	linb	nSNP
ENSG00000235863_B3GALT4	0.3472847121693261	3
ENSG00000227057_WDR46	0.5289418871788896	13
ENSG00000204220_PFDN6	0.46693850395090086	1
ENSG00000237441_RGL2	0.07022017767309163	9
ENSG00000231925_TAPBP	0.6922940058531931	4
ENSG00000204209_DAXX	0.4303737109928689	4
ENSG00000237649_KIFC1	0.8356627253126727	9
ENSG00000112511_PHF1	0.025616046560288264	5
ENSG00000112514_CUTA	0.7056743485632309	16
ENSG00000197283_SYNGAP1	0.6867488087052742	3
ENSG00000213588_ZBTB9	0.4365391655040728	2
ENSG00000030110_BAK1	0.7919412133751642	8
ENSG00000096433_ITPR3	0.021810658031305885	15
ENSG00000137288_UQCC2	0.8788624353157677	5
ENSG00000161896_IP6K3	0.5224132445463379	6
ENSG00000161904_LEMD2	0.23817932107188822	5
ENSG00000096395_MLN	0.6928615916901797	2
ENSG00000124493_GRM4	0.9828304380811348	6
ENSG00000186577_SMIM29	0.583252603420292	5
ENSG00000124614_RPS10	0.8119015753961953	2
ENSG00000124507_PACSIN1	0.16729131373102324	4
ENSG00000124664_SPDEF	0.30590987924369295	1
ENSG00000124562_SNRPC	0.707471179170134	1
ENSG00000065060_UHRF1BP1	0.7318439014380305	14
ENSG00000064995_TAF11	0.6541473205045252	1
ENSG00000064999_ANKS1A	0.8657229415378589	7
ENSG00000124678_TCP11	0.15352848959568277	10
ENSG00000146197_SCUBE3	0.17742183589424287	3
ENSG00000065029_ZNF76	0.38819431997484233	10
ENSG00000023892_DEF6	0.5583357280229087	3
ENSG00000112033_PPARD	0.5665053856850882	6
ENSG00000112039_FANCE	0.49196391306284804	5
ENSG00000198755_RPL10A	0.8651157236886611	3
ENSG00000007866_TEAD3	0.5014513989563363	2
ENSG00000112041_TULP1	0.23773749012190992	9
ENSG00000096060_FKBP5	0.7560949646165469	3
ENSG00000157343_ARMC12	0.932880164072322	9
ENSG00000196748_CLPSL2	0.05340568068833362	4
ENSG00000204140_CLPSL1	0.868574870012802	7
ENSG00000137392_CLPS	0.45073463815761583	1
ENSG00000197753_LHFPL5	0.9620014782893953	5
ENSG00000096063_SRPK1	0.3354292540574617	13
ENSG00000112053_SLC26A8	0.7093393452620369	10
ENSG00000112062_MAPK14	0.948378306244069	2
ENSG00000156711_MAPK13	0.48258424351337903	10
ENSG00000096070_BRPF3	0.5073574628323498	2
ENSG00000180316_PNPLA1	0.6609295354283964	5
ENSG00000189325_C6orf222	0.0003550096758251353	11
ENSG00000010030_ETV7	0.20082776470695562	13
ENSG00000179165_PXT1	0.32365260544199714	6
ENSG00000112078_KCTD20	0.8337385898896323	2
ENSG00000112079_STK38	0.04303426131545063	5
ENSG00000124762_CDKN1A	0.49816332603871494	5
ENSG00000255587_RAB44	0.1293635334177009	14
ENSG00000124772_CPNE5	0.22057006134498636	6
ENSG00000137168_PPIL1	0.14302054401005715	4
ENSG00000198663_C6orf89	0.7425481170386024	3
ENSG00000164530_PI16	0.3828997310232155	7
ENSG00000137409_MTCH1	0.20794432129809504	8
ENSG00000146192_FGD2	0.5511565476667974	11
ENSG00000137193_PIM1	0.10085354353261944	1
ENSG00000172738_TMEM217	0.3476289594085402	4
ENSG00000286105_AL353579.1	0.3362564176899161	2
ENSG00000065491_TBC1D22B	0.5154388513417143	2
ENSG00000112130_RNF8	0.38624104835859563	1
ENSG00000137200_CMTR1	0.1255187696531488	5
ENSG00000198937_CCDC167	0.0624950449590187	3
ENSG00000112139_MDGA1	0.7271705832355266	6
ENSG00000156639_ZFAND3	0.1001103455065726	2
ENSG00000183826_BTBD9	0.2901088167252579	16
ENSG00000124767_GLO1	0.6113273002371262	12
ENSG00000124721_DNAH8	0.3917007719885909	75
ENSG00000112164_GLP1R	0.3987590967720267	4
ENSG00000112167_SAYSD1	0.1413944702494907	6
ENSG00000164626_KCNK5	0.39026829312985833	1
ENSG00000124780_KCNK17	0.8944188109780516	7
ENSG00000095981_KCNK16	0.5530265685345658	4
ENSG00000164627_KIF6	0.3510171733904024	18
ENSG00000146122_DAAM2	0.005355961406406484	7
ENSG00000124615_MOCS1	2.0	12
ENSG00000156564_LRFN2	0.7703103910692737	2
ENSG00000124602_UNC5CL	0.4841052082840718	6
ENSG00000124596_OARD1	0.37506449293839494	2
ENSG00000112212_TSPO2	0.02045905067161513	4
ENSG00000001167_NFYA	0.6775467726447661	6
ENSG00000161911_TREML1	0.3009538091483417	7
ENSG00000095970_TREM2	0.2777667933331236	3
ENSG00000112195_TREML2	0.9727807427149988	3
ENSG00000188056_TREML4	0.27597580927846244	7
ENSG00000124731_TREM1	0.5920192818458233	3
ENSG00000096264_NCR2	0.5940708749115743	7
ENSG00000137166_FOXP4	0.41378150391951996	5
ENSG00000112561_TFEB	0.0833699865998564	4
ENSG00000096088_PGC	0.09136703249030853	3
ENSG00000137218_FRS3	0.13342180467515696	3
ENSG00000124593_AL365205.1	0.32213604315458144	7
ENSG00000278224_PRICKLE4	0.32071722025028093	8
ENSG00000214736_TOMM6	0.5271516170033947	1
ENSG00000164663_USP49	0.6917741645547014	3
ENSG00000124641_MED20	0.02352976830687703	4
ENSG00000112578_BYSL	0.01049986132521763	3
ENSG00000112576_CCND3	0.9465084101450852	3
ENSG00000137413_TAF8	0.24285797801426767	7
ENSG00000188112_C6orf132	0.21640530610085074	5
ENSG00000048545_GUCA1A	0.8671900187091579	2
ENSG00000287363_AL096814.2	0.8671900187091579	2
ENSG00000112599_GUCA1B	0.12280420149167326	5
ENSG00000048544_MRPS10	0.7401816188810635	6
ENSG00000124496_TRERF1	0.45427259784758134	3
ENSG00000024048_UBR2	0.9889998841793107	8
ENSG00000124659_TBCC	0.07420120780518957	9
ENSG00000146223_RPL7L1	0.4585314574668724	5
ENSG00000221821_C6orf226	0.6133041597783644	3
ENSG00000171611_PTCRA	0.395054017416807	7
ENSG00000137161_CNPY3	0.06619173087567787	1
ENSG00000124713_GNMT	0.7697125433015328	2
ENSG00000124587_PEX6	0.34615438465259696	8
ENSG00000112640_PPP2R5D	0.01569603073535586	2
